rank,name,team,position,receive_targets,receive_receptions,receive_completion_percent,receive_yards,receive_touchdowns,receive_long,receive_yards_per_target,receive_yards_per_reception,fumbles,fumbles_lost,fantasy_points
101,Michael Palmer,PIT,TE,1,1,100,8,0,8,8,8,0,0,1.8
102,Orson Charles,CIN,TE,2,1,50,8,0,8,4,8,0,0,1.8
103,Konrad Reuland,NYJ,TE,3,1,33.3,7,0,7,2.3,7,0,0,1.7
104,Mike McNeill,STL,TE,1,1,100,5,0,5,5,5,0,0,1.5
105,Justice Cunningham,IND,TE,1,1,100,4,0,4,4,4,0,0,1.4
106,Richard Gordon,PIT,TE,1,1,100,3,0,3,3,3,0,0,1.3
107,Chase Coffman,ATL,TE,2,0,0,0,0,0,0,0,0,0,0
108,Ben Hartsock,CAR,TE,0,0,0,0,0,0,0,0,0,0,0
109,Tony Moeaki,BUF,TE,0,0,0,0,0,0,0,0,0,0,0
110,Steve Maneri,CHI,TE,2,0,0,0,0,0,0,0,0,0,0
111,David Ausberry,OAK,TE,0,0,0,0,0,0,0,0,0,0,0
112,Kyle Adams,TB,TE,0,0,0,0,0,0,0,0,0,0,0
113,Andre Smith,DAL,TE,0,0,0,0,0,0,0,0,0,0,0
114,DJ Williams,NE,TE,3,0,0,0,0,0,0,0,0,0,0
115,Luke Stocker,TB,TE,0,0,0,0,0,0,0,0,0,0,0
116,Demarcus Dobbs,SF,TE,0,0,0,0,0,0,0,0,0,0,0
117,Matt Veldman,DET,TE,0,0,0,0,0,0,0,0,0,0,0
118,Adrien Robinson,NYG,TE,0,0,0,0,0,0,0,0,0,0,0
119,Travis Kelce,KC,TE,0,0,0,0,0,0,0,0,0,0,0
120,DC Jefferson,ARI,TE,0,0,0,0,0,0,0,0,0,0,0
121,Chris Pantale,NYJ,TE,0,0,0,0,0,0,0,0,0,0,0
122,Brandon Williams,CAR,TE,0,0,0,0,0,0,0,0,0,0,0
123,Derek Carrier,SF,TE,0,0,0,0,0,0,0,0,0,0,0
124,Jake Byrne,SD,TE,0,0,0,0,0,0,0,0,0,0,0
125,Jake Stoneburner,GB,TE,0,0,0,0,0,0,0,0,0,0,0
126,Keavon Milton,CLE,TE,0,0,0,0,0,0,0,0,0,0,0
127,Phillip Supernaw,HOU,TE,0,0,0,0,0,0,0,0,0,0,0
