name,team_abbreviation,rush_attempts,rush_yards,rush_touchdowns,receive_receptions,receive_yards,receive_touchdowns,fumbles,fantasy_points
Chris Polk,PHI,65.5,296.6,2.1,8.5,63.2,0,0.5,47.6
Denard Robinson,JAC,56.4,257.8,1.5,13.7,115.8,0.5,1.5,46.4
BenJarvus Green-Ellis,CIN,76.5,293,2.5,3.8,24.9,0,0.5,45.8
Ronnie Hillman,DEN,59.6,256.7,1,16.8,128.3,0.5,1.5,44.5
Mike James,TB,67.7,298.7,1.2,8.8,59.4,0,0.5,42
Daniel Thomas,MIA,63.6,246.6,1.8,10.5,72.9,0,0.5,41.5
Vick Ballard,IND,60.3,249.5,1.4,10.4,73.8,0,0.5,39.7
Bryce Brown,BUF,67.1,298.9,1.2,5.9,43.2,0,2,37.4
Marcus Lattimore,SF,47.5,220.4,1.7,5.3,43.9,0,0,36.6
Isaiah Crowell,CLE,58.1,257.4,0.6,10.3,67.6,0,0,36.3
Jonathan Dwyer,ARI,64.3,261.5,1.1,5.9,43.1,0,0.5,36.1
Lorenzo Taliaferro,BAL,55.6,262.1,1,6,36.6,0,0,35.9
Matt Asiata,MIN,52.1,204.6,2,4.9,31.4,0,0,35.6
Lache Seastrunk,WAS,46.5,213.6,1.4,5.4,54.5,0,0,35.1
Robert Turbin,SEA,49.1,212.3,0.8,11.6,99.9,0,0.5,35
Dri Archer,PIT,20.9,102.7,0.6,20,163.2,0.9,0.5,34.6
Darrel Young,WAS,13.5,53,2,8.5,92,0.5,0,29.5
Alfred Blue,HOU,38.5,174.5,1,8.5,60.5,0,0,29.5
Benny Cunningham,STL,47,210.4,0.7,5.7,44.5,0,1,27.7
DuJuan Harris,GB,44.3,187.5,0.8,6,40.9,0,0,27.3
Justin Forsett,BAL,49.1,212.6,0.4,4.9,30,0,0,26.5
Jackie Battle,TEN,45.5,182.5,1,2.5,19.5,0,0,26.2
Bobby Rainey,TB,38,157.1,0.8,7.7,51.3,0,0,25.6
Anthony Dixon,BUF,21,86,2.5,2,16.5,0,0,25.3
Joseph Randle,DAL,41.5,167.6,0.5,8,51.4,0,0,24.9
Peyton Hillis,NYG,34.6,131.5,0.8,8.8,64.7,0,0.5,23.4
De'Anthony Thomas,KC,10.8,38.7,0.3,18.8,142.1,0.5,0,22.9
John Kuhn,GB,15.4,53.8,1.1,10.3,72.6,0.4,0,21.6
Chris Ogbonnaya,CLE,22.5,91.5,0,16.5,115.3,0.3,1,20.5
Theo Riddick,DET,31.3,119.6,0.6,5.9,40.6,0,0,19.8
Jed Collins,DET,7,43.5,1,10,56.5,0.5,0,19
Anthony Sherman,KC,6.5,20.5,0.5,13,106,0.5,0,18.7
Dennis Johnson,HOU,30.8,126.8,0.2,6.8,46.4,0,0,18.5
Frank Summers,BUF,12,44.5,0.5,9,72.5,0.5,0,17.7
Derrick Coleman,SEA,5.5,20.5,0.5,9.5,66,1,0,17.7
Mikel Leshoure,DET,22.8,100.3,0.8,6.1,45.5,0,0.8,17.6
Shaun Draughn,CHI,21.5,91.5,0.5,6,48,0,0,17
Storm Johnson,JAC,24.4,105.4,0.4,5.3,38.6,0,0,16.7
Bruce Miller,SF,6,21.5,0.5,13,107.5,0,0,15.9
Erik Lorig,NO,5,19.5,0,10.5,75.5,1,0,15.5
Michael Ford,CHI,21.5,94,0.5,3,24,0,0,14.8
Will Johnson,PIT,2,7.5,0,11,70,1,0,13.8
Dion Lewis,CLE,20.6,94.1,0.4,2.3,18.3,0,0,13.5
Cyrus Gray,KC,12,55,0.5,7,48,0,0,13.3
Tommy Bohanon,NYJ,8,29,0.5,10.5,70.5,0,0,13
Kyle Juszczyk,BAL,11.8,42.8,0.4,6.4,40.3,0.4,0,12.8
Cedric Peerman,CIN,15,70,0,7,56.5,0,0,12.7
Chris Thompson,WAS,13.5,65.3,0,6,57.8,0,0,12.3
Daryl Richardson,NYJ,15.8,67.4,0,7.5,62.7,0,0.5,12
Stanley Havili,IND,6.5,24,0,13,94,0,0,11.8
Kenjon Barner,CAR,18.8,81,0,5.4,36.9,0,0,11.8
Ryan Williams,DAL,26,109,0,3,23.5,0,0.8,11.8
Mike Gillislee,MIA,23,95.2,0,2.2,16.1,0,0,11.1
Chris Rainey,IND,11.3,50.3,0,6.8,59.3,0,0,11
Henry Hynoski,NYG,4,14.5,0.5,8.5,61.5,0,0,10.6
Marion Grice,SD,11,51,0.5,3,22,0,0,10.3
Edwin Baker,CLE,14.9,64.1,0.3,3.4,23.1,0,0,10.2
Jorvorskie Lane,TB,8.5,28.5,0.5,5.5,38.5,0,0,9.7
Antone Smith,ATL,13.5,57.5,0.5,1,8.5,0,0,9.6
Joe McKnight,KC,16.5,69,0,4.5,41.3,0,0.8,9.5
Jerome Felton,MIN,5,16.5,0.5,6,47.5,0,0,9.4
Tony Fiammetta,CHI,5.5,21.5,0.5,5,39.5,0,0,9.1
Jeremy Stewart,OAK,11.3,50.3,0,5.3,38.3,0,0,8.9
Tyler Gaffney,CAR,12,56,0,4,32,0,0,8.8
Leon Washington,TEN,6,29.5,0,5.5,51.5,0,0,8.1
James Develin,NE,4.5,16,0.5,4,29,0,0,7.5
Jalen Parmele,ARI,6,31.5,0,5.3,40.5,0,0,7.2
Tyler Clutts,DAL,3,11.5,0.5,4.5,26.5,0,0,6.8
Alvester Alexander,PIT,11.3,48.8,0,3,16.5,0,0,6.5
Patrick DiMarco,ATL,3,11.5,0,8,51,0,0,6.3
Collin Mooney,TEN,3.5,12,0.5,3.5,20,0,0,6.2
Johnathan Franklin,GB,8,42,0,2.5,17,0,0,5.9
Jonathan Grimes,HOU,5.3,24.8,0,3.8,32.3,0,0,5.7
Will Ta'ufo'ou,JAC,4,14,0,7.5,41.5,0,0,5.6
Evan Royster,WAS,9,38.3,0,2.3,16.5,0,0,5.5
Michael Cox,NYG,7.5,33,0,2.5,19.5,0,0,5.3
Isaiah Pead,STL,7.5,33.5,0,2.5,18,0,0,5.2
Jay Prosch,HOU,7,28,0,3,21,0,0,4.9
LaMichael James,SF,6,27.5,0,2.5,21.5,0,0,4.9
Miguel Maysonet,PIT,6.8,28.5,0,0.8,3,0,0,3.2
Dan Herron,IND,6,27.8,0,0,0,0,0,2.8
Robert Hughes,ARI,3.8,12.8,0,2.3,14.3,0,0,2.7
Lonnie Pryor,TB,2.3,6.8,0,3,15.8,0,0,2.3
Spencer Ware,SEA,2.3,7.5,0,0,0,0,0,0.8
Cierre Wood,BAL,0,0,0,0,0,0,0,0
